benchmark,ablation,delta_accuracy,delta_brier,delta_convergence_step,delta_entropy_slope,delta_correction_count
devices,ablate_recency_blend,0.0,0.0069103037944659995,1.5,0.022068162428464683,0.0
devices,ablate_stale_feature_demotion,0.0,0.0,0.0,0.0,0.0
devices,ablate_active_learning_cooldown,0.0,0.0,0.0,0.0,0.0
devices,ablate_confirmation_memory_floor,0.0,0.0,0.0,0.0,0.0
devices,ablate_anchor_override,0.0,0.0,0.0,0.0,0.0
liquid,ablate_recency_blend,0.0,4.075793072899625e-05,0.0,1.0890799332197165e-05,1.0
liquid,ablate_stale_feature_demotion,0.0,0.0,0.0,0.0,0.0
liquid,ablate_active_learning_cooldown,0.0,0.0,0.0,0.0,0.0
liquid,ablate_confirmation_memory_floor,0.0,0.0,0.0,0.0003309424447102416,-0.5
liquid,ablate_anchor_override,0.0,0.0,0.0,0.0,0.0
marine_animals_adversarial,ablate_recency_blend,0.0,-0.005367288818821425,0.0,0.005896629435067968,0.0
marine_animals_adversarial,ablate_stale_feature_demotion,0.0,0.0,0.0,0.0,0.0
marine_animals_adversarial,ablate_active_learning_cooldown,0.0,0.0,0.0,0.0,0.5
marine_animals_adversarial,ablate_confirmation_memory_floor,0.0,0.0025525590786377172,0.0,0.004214112835730199,1.0
marine_animals_adversarial,ablate_anchor_override,0.0,0.0,0.0,0.0,0.0
noisy_food_adversarial,ablate_recency_blend,0.0,-0.007957043356656701,0.0,-0.0034124419277862805,0.5
noisy_food_adversarial,ablate_stale_feature_demotion,0.0,0.0,0.0,0.0,0.0
noisy_food_adversarial,ablate_active_learning_cooldown,0.0,0.0,0.0,0.0,0.0
noisy_food_adversarial,ablate_confirmation_memory_floor,0.0,-0.009987658299959956,0.0,-0.018752130487843077,-0.5
noisy_food_adversarial,ablate_anchor_override,0.0,0.0,0.0,0.0,0.0
scifi_movies,ablate_recency_blend,0.0,-0.009322992348994585,0.0,0.009809075252683735,-1.0
scifi_movies,ablate_stale_feature_demotion,0.0,0.0,0.0,0.0,0.0
scifi_movies,ablate_active_learning_cooldown,0.0,0.0,0.0,0.0,0.0
scifi_movies,ablate_confirmation_memory_floor,0.0,0.0,0.0,0.0,0.0
scifi_movies,ablate_anchor_override,0.0,0.0,0.0,0.0,0.0
