benchmark,ablation,benchmark_label,seed,step,item,truth,prediction,probability,brier,entropy,top_theory,top_weight,correction_asked,correction_applied,correction_feature,correction_action
liquid,full,liquid (full),0,1,ice,0,1,0.5,0.25,4.145158974054464,"lambda f: f.get('is_liquid', False)",0.07189490389530959,0,0,,
liquid,full,liquid (full),0,2,maple syrup,1,1,0.07189490389530959,0.8613790694154966,4.113075077799989,"lambda f: f.get('is_liquid', False)",0.08254381141965639,0,0,,
liquid,full,liquid (full),0,3,mercury,1,1,0.08254381141965639,0.841725857964371,2.922290823259533,"lambda f: f.get('is_liquid', False)",0.17837756232457042,1,1,is_liquid,reduce
liquid,full,liquid (full),0,4,paper,0,0,0.17837756232457042,0.031818554740856,3.5238355464764948,"lambda f: f.get('is_liquid', False)",0.20321156843636834,0,0,,
liquid,full,liquid (full),0,5,vegetable oil,1,1,0.20321156843636834,0.6348718046736321,2.8751986817994526,"lambda f: f.get('is_liquid', False)",0.24096006740168335,1,1,is_liquid,reduce
liquid,full,liquid (full),0,6,iron,0,0,0.24096006740168335,0.058061754082223783,2.9295395363163528,"lambda f: f.get('is_liquid', False)",0.2482513334314513,0,0,,
liquid,full,liquid (full),0,7,orange juice,1,1,0.2482513334314513,0.5651260576875909,2.6503025873396138,"lambda f: f.get('is_liquid', False)",0.2652582903476405,1,1,has_sugar,verify_extraction
liquid,full,liquid (full),0,8,water,1,1,0.2652582903476405,0.5398453799028722,2.62681911085842,"lambda f: f.get('is_liquid', False)",0.2685090442741104,0,0,,
liquid,full,liquid (full),0,9,liquid glue,1,1,0.2685090442741104,0.5350790183087755,2.446490838216054,"lambda f: f.get('is_liquid', False)",0.2465850877957619,0,0,,
liquid,full,liquid (full),0,10,gun,0,0,0.2465850877957619,0.06080420552324361,2.346577340884252,"lambda f: f.get('is_liquid', False)",0.32002930929631296,1,1,can_freeze,moderate_boost
liquid,full,liquid (full),1,1,gun,0,1,0.5,0.25,4.145154319674404,"lambda f: f.get('is_liquid', False)",0.071900677273353,0,0,,
liquid,full,liquid (full),1,2,maple syrup,1,1,0.071900677273353,0.8613683528456608,4.031271359124838,"lambda f: f.get('is_liquid', False)",0.08858483756121568,0,0,,
liquid,full,liquid (full),1,3,liquid glue,1,1,0.08858483756121568,0.8306775983233156,2.9224178087832757,"lambda f: f.get('is_liquid', False)",0.17777371159647878,1,1,is_liquid,reduce
liquid,full,liquid (full),1,4,ice,0,0,0.17777371159647878,0.031603492534788016,2.921977389711277,"lambda f: f.get('is_liquid', False)",0.23391082679219552,0,0,,
liquid,full,liquid (full),1,5,paper,0,0,0.23391082679219552,0.05471427489060849,3.17563342229578,"lambda f: f.get('is_liquid', False)",0.23070053777033683,1,1,is_liquid,reduce
liquid,full,liquid (full),1,6,vegetable oil,1,1,0.23070053777033683,0.591821662586849,2.552720272554427,"lambda f: f.get('is_liquid', False)",0.28795799488843915,0,0,,
